kd_nM,prior_density,posterior_density
0.038968,0.00062973,0
0.0391096,0.000632619,0
0.0392518,0.000635519,0
0.0393945,0.000638432,0
0.0395376,0.000641356,0
0.0396813,0.000644293,0
0.0398256,0.000647242,0
0.0399703,0.000650204,0
0.0401156,0.000653177,0
0.0402614,0.000656163,0
0.0404077,0.000659162,0
0.0405546,0.000662172,0
0.040702,0.000665195,0
0.04085,0.000668231,0
0.0409984,0.000671279,0
0.0411474,0.00067434,0
0.041297,0.000677414,0
0.0414471,0.0006805,0
0.0415978,0.000683599,0
0.0417489,0.00068671,0
0.0419007,0.000689835,0
0.042053,0.000692972,0
0.0422058,0.000696123,0
0.0423592,0.000699286,0
0.0425132,0.000702462,0
0.0426677,0.000705651,0
0.0428228,0.000708854,0
0.0429784,0.00071207,0
0.0431347,0.000715298,0
0.0432914,0.00071854,0
0.0434488,0.000721796,0
0.0436067,0.000725064,0
0.0437652,0.000728347,0
0.0439243,0.000731642,0
0.0440839,0.000734951,0
0.0442442,0.000738274,0
0.044405,0.00074161,0
0.0445664,0.00074496,0
0.0447284,0.000748323,0
0.0448909,0.0007517,0
0.0450541,0.000755091,0
0.0452178,0.000758496,0
0.0453822,0.000761915,0
0.0455471,0.000765347,0
0.0457127,0.000768794,0
0.0458788,0.000772254,0
0.0460456,0.000775729,0
0.046213,0.000779218,0
0.0463809,0.000782721,0
0.0465495,0.000786238,0
0.0467187,0.00078977,0
0.0468885,0.000793316,0
0.0470589,0.000796876,0
0.04723,0.00080045,0
0.0474016,0.000804039,0
0.0475739,0.000807643,0
0.0477468,0.000811261,0
0.0479204,0.000814894,0
0.0480946,0.000818542,0
0.0482694,0.000822204,0
0.0484448,0.000825881,0
0.0486209,0.000829573,0
0.0487976,0.00083328,0
0.048975,0.000837002,0
0.049153,0.000840738,0
0.0493316,0.00084449,0
0.0495109,0.000848257,0
0.0496909,0.000852039,0
0.0498715,0.000855836,0
0.0500528,0.000859649,0
0.0502347,0.000863477,0
0.0504173,0.00086732,0
0.0506005,0.000871178,0
0.0507844,0.000875053,0
0.050969,0.000878942,0
0.0511543,0.000882847,0
0.0513402,0.000886768,0
0.0515268,0.000890705,0
0.0517141,0.000894657,0
0.0519021,0.000898625,0
0.0520907,0.000902609,0
0.05228,0.000906609,0
0.0524701,0.000910625,0
0.0526608,0.000914657,0
0.0528522,0.000918705,0
0.0530443,0.000922769,0
0.0532371,0.000926849,0
0.0534306,0.000930945,0
0.0536248,0.000935058,0
0.0538197,0.000939187,0
0.0540153,0.000943333,0
0.0542116,0.000947495,0
0.0544087,0.000951673,0
0.0546064,0.000955868,0
0.0548049,0.00096008,0
0.0550041,0.000964309,0
0.055204,0.000968554,0
0.0554047,0.000972816,0
0.055606,0.000977095,0
0.0558081,0.000981391,0
0.056011,0.000985703,0
0.0562146,0.000990033,0
0.0564189,0.00099438,0
0.056624,0.000998744,0
0.0568298,0.00100313,0
0.0570363,0.00100752,0
0.0572436,0.00101194,0
0.0574517,0.00101637,0
0.0576605,0.00102082,0
0.0578701,0.00102529,0
0.0580804,0.00102978,0
0.0582915,0.00103428,0
0.0585034,0.0010388,0
0.058716,0.00104334,0
0.0589295,0.0010479,0
0.0591436,0.00105247,0
0.0593586,0.00105707,0
0.0595744,0.00106168,0
0.0597909,0.00106631,0
0.0600082,0.00107095,0
0.0602263,0.00107562,0
0.0604452,0.0010803,0
0.0606649,0.001085,0
0.0608854,0.00108972,0
0.0611067,0.00109446,0
0.0613288,0.00109922,0
0.0615517,0.00110399,0
0.0617754,0.00110878,0
0.062,0.0011136,0
0.0622253,0.00111843,0
0.0624515,0.00112328,0
0.0626785,0.00112815,0
0.0629063,0.00113304,0
0.0631349,0.00113794,0
0.0633644,0.00114287,0
0.0635947,0.00114781,0
0.0638259,0.00115278,0
0.0640579,0.00115776,0
0.0642907,0.00116276,0
0.0645244,0.00116778,0
0.0647589,0.00117283,0
0.0649943,0.00117789,0
0.0652305,0.00118297,0
0.0654676,0.00118807,0
0.0657055,0.00119319,0
0.0659443,0.00119833,0
0.066184,0.00120349,0
0.0664246,0.00120867,0
0.066666,0.00121387,0
0.0669083,0.00121908,0
0.0671515,0.00122432,0
0.0673956,0.00122958,0
0.0676406,0.00123486,0
0.0678864,0.00124016,0
0.0681331,0.00124548,0
0.0683808,0.00125082,0
0.0686293,0.00125618,0
0.0688788,0.00126157,0
0.0691291,0.00126697,0
0.0693804,0.00127239,0
0.0696326,0.00127784,0
0.0698856,0.0012833,0
0.0701397,0.00128879,0
0.0703946,0.00129429,0
0.0706505,0.00129982,0
0.0709072,0.00130537,0
0.071165,0.00131094,0
0.0714236,0.00131653,0
0.0716832,0.00132214,0
0.0719438,0.00132778,0
0.0722053,0.00133343,0
0.0724677,0.00133911,0
0.0727311,0.00134481,0
0.0729955,0.00135053,0
0.0732608,0.00135627,0
0.073527,0.00136203,0
0.0737943,0.00136782,0
0.0740625,0.00137362,0
0.0743317,0.00137945,0
0.0746019,0.0013853,0
0.074873,0.00139118,0
0.0751452,0.00139707,0
0.0754183,0.00140299,0
0.0756924,0.00140893,0
0.0759675,0.00141489,0
0.0762436,0.00142088,0
